Insect_Order,Insect_Family,Insect_GenusNames,Insect_SpeciesNames,Author,Number_PlantGenus,Plant_GenusNames,Number_PlantSpecies,Plant_SpeciesNames,Plant Part/s ,Feeding Guild,Record_Infestation,Literature,
Lepidoptera,Lycaenidae,Arhopala,Arhopala pseudocentaurus,"(Doubleday, 1847)",1,Shorea,1,Shorea sumatrana,Leaves,Defoliator,West Malaysia,Robinson et al. (2025),
Lepidoptera,Lycaenidae,Drupadia,Drupadia ravindra,"(Horsfield, [1829])",1,Richetia,1,Richetia maxima,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Lycaenidae,Neomyrina,Neomyrina nivea,"(Godman & Salvin, 1878)",1,Neobalanocarpus,1,Neobalanocarpus heimii,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Lycaenidae,Rapala,Rapala pheretima sequeira,"(Distant, 1885)",1,Shorea,1,Shorea sumatrana,Flowers,Florivore,Malaysia,Robinson et al. (2025),
Lepidoptera,Lyonetiidae,Lyonetia,Lyonetia eratopa,"Meyrick, 1933",1,Dipterocarpus,1,Dipterocarpus sp.,Fruits,Fruit Feeder,Indonesia,Robinson et al. (2025),
Lepidoptera,Noctuidae,Achaea,Achaea janata,"(Linnaeus, 1758)",1,Anthoshorea,1,Anthoshorea roxburghii,Leaves,Defoliator,Thailand,Robinson et al. (2025),
Lepidoptera,Noctuidae,Elusa,Elusa ceneusalis,"Walker, 1859",1,Rubroshorea,1,Rubroshorea johorensis,Fruits,Fruit Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Noctuidae,Hydrillodes,Hydrillodes hemusalis  ,"(Walker, 1859)",1,Anthoshorea,1,Anthoshorea gratissima,Fruits,Fruit Feeder,Thailand,Basset et al. (2019),
Lepidoptera,Noctuidae,Hydrillodes,Hydrillodes toresalis ,"(Walker, 1859)",1,Dipterocarpus,1,Dipterocarpus crinitus,Fruits,Fruit Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Noctuidae,Naarda,Naarda sp.,,1,Dryobalanops,1,Dryobalanops lanceolata,Fruits,Fruit Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Noctuidae,Prometopus,Prometopus asahana,"(Kobes, 1985)",1,Rubroshorea,1,Rubroshorea argentifolia,Flowers,Florivore,Malaysia,Chung et al. (2011),
Lepidoptera,Noctuidae,Simplicia,Simplicia turpatalis,"(Walker, 1859)",1,Dipterocarpus,1,Dipterocarpus tuberculatus,Leaves,Defoliator,Thailand,Robinson et al. (2025),
Lepidoptera,Noctuidae,Spodoptera,Spodoptera pecten,"Guenée, 1852",1,Rubroshorea,1,Rubroshorea curtisii,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Noctuidae,Stictoptera,Stictoptera signifera,"(Walker, 1857)",1,Anisoptera,1,Anisoptera sp.,Leaves,Defoliator,West Malaysia,Robinson et al. (2025),
Lepidoptera,Noctuidae,Targalla,Targalla sp.,,1,Dipterocarpus,1,Dipterocarpus tuberculatus,Leaves,Defoliator,Thailand,Robinson et al. (2025),
Lepidoptera,Nolidae,Blenina,Blenina chlorophila,"Hampson, 1905",1,Rubroshorea,1,Rubroshorea pauciflora,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Nolidae,Etanna,Etanna breviuscula,"(Walker, 1863)",1,Rubroshorea,1,Rubroshorea ovalis,Flowers,Florivore,Malaysia,Robinson et al. (2025),
Lepidoptera,Nolidae,Etanna,Etanna sp.,,1,Rubroshorea,1,Rubroshorea almon,Flowers,Florivore,Malaysia,Chung et al. (2011),
Lepidoptera,Nolidae,Maurilia,Maurilia iconica,(Walker),1,Rubroshorea,1,Rubroshorea leprosula,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Nolidae,Nola,Nola fasciata,"(Walker, 1866)",1,Richetia,1,Richetia xanthophylla,Flowers,Florivore,Malaysia,Chung et al. (2011),
Lepidoptera,Nolidae,Nola,Nola pumila,"Snellen, 1875",1,Rubroshorea,1,Rubroshorea macroptera,Fruits,Fruit Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Nolidae,Nola,Nola squalida,"Staudinger, 1870",1,Dryobalanops,1,Dryobalanops oblongifolia,Flowers,Florivore,Malaysia,Robinson et al. (2025),
Lepidoptera,Oecophoridae,Acria,Acria sp.,,1,Shorea,1,Shorea kudatensis,Leaves,Defoliator,Malaysia,Chung et al. (2013),
Lepidoptera,Oecophoridae,Stathmopoda,Stathmopoda philaromia,"Meyrick, 1936",1,Rubroshorea,1,Rubroshorea leprosula,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Psychidae,Acanthopsyche ,Acanthopsyche ,,1,Rubroshorea,1,Rubroshorea leprosula,Leaves,Defoliator,Indonesia,Lelana et al. (2022),
Lepidoptera,Psychidae,Cryptothelea,Cryptothelea sp.,,1,Shorea,1,Rubroshorea balangeran,Leaves,Defoliator,Indonesia,"Asmaliyah et al. (2019), Lelana et al. (2022), Budiman et al. (2020)",
Lepidoptera,Psychidae,Eumeta,Eumeta minuscula,"(Butler, 1881)",1,Richetia,1,Richetia maxima,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Psychidae,Eumeta,Eumeta variegatus,"(Snellen, 1879)",1,Rubroshorea,1,Rubroshorea selanica,Leaves,Defoliator,Indonesia,Manya (2017),
Lepidoptera,Psychidae,Pagodiella,Pagodiella heckmeyeri,"(Heylaerts, 1885)",1,Rubroshorea,1,Rubroshorea leprosula,Leaves,Defoliator,Malaysia,Ong et al. (2020),
Lepidoptera,Pyralidae,Assara,Assara tuberculosa,"Meyrick, 1933",1,Dipterocarpus,1,Dipterocarpus turbinatus,Leaves,Gall-former,Thailand,Robinson et al. (2025),
Lepidoptera,Pyralidae,Cadra,Cadra cautella,"(Walker, 1863)",1,Shorea,1,Shorea sp.,Fruits,Fruit Feeder,Indonesia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Cryptoblabes,Cryptoblabes sp.,,1,Anthoshorea,1,Anthoshorea bracteolata,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Culladia,Culladia,,1,Dipterocarpus,1,Dipterocarpus alatus,Seeds,Seed Feeder,Thailand,Insect of Dipterocarp Database,
Lepidoptera,Pyralidae,Dichocrocis,Dichocrocis sp.,,1,Dipterocarpus,1,Dipterocarpus dyeri,Seeds,Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Doloessa,Doloessa viridis,"Zeller, 1848",1,Shorea,1,Shorea sp.,Fruits / Seeds,Fruit Feeder / Seed Feeder,South-East Asia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Endotricha,Endotricha sp.,,1,Anthoshorea,1,Anthoshorea gratissima,Fruits,Fruit Feeder,Thailand,Basset et al. (2019),
Lepidoptera,Pyralidae,Enzophera,Enzophera sp.,,1,Dipterocarpus,1,Dipterocarpus alatus,Fruits,Fruit Feeder,Thailand,Insect of Dipterocarp Database,
Lepidoptera,Pyralidae,Lamoria,Lamoria sp. ,,1,Rubroshorea,1,Rubroshorea macroptera,Seeds,Seed Feeder,West Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Lista,Lista haraldusalis,"Walker, 1858",1,Richetia,1,Richetia maxima,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Mussidia,Mussidia sp. near pectinicornella ,,1,Dipterocarpus,1,Dipterocarpus grandiflorus,Fruits,Fruit Feeder,Thailand,Basset et al. (2019),
Lepidoptera,Pyralidae,Nephopterix,Nephopterix sp.,,1,Rubroshorea,1,Rubroshorea platyclados,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Omiodes,Omiodes sp.,,1,Rubroshorea,1,Rubroshorea argentifolia,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Pempelia,Pempelia sp.,,1,Dipterocarpus,1,Dipterocarpus dyeri,Seeds,Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Pyralis,Pyralis pictalis ,"(Curtis, 1834)",1,Shorea,1,Shorea sp.,Fruits,Fruit Feeder,Indonesia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Salebria,Salebria,,1,Dipterocarpus,1,Dipterocarpus dyeri,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Stericta,Stericta carneotincta,"Hampson, 1896",1,Rubroshorea,1,Rubroshorea lepidota,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Pyralidae,Tirathaba,Tirathaba rufivena,"(Walker, 1864)",1,Rubroshorea,1,Rubroshorea macrophylla,Seeds,Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Saturniidae,Antheraea,Antheraea frithii,"Moore, 1858",1,Dipterocarpus,1,Dipterocarpus alatus,Leaves,Defoliator,Thailand,Robinson et al. (2025),
Lepidoptera,Saturniidae,Antheraea,Antheraea larissa,"Westwood, 1847",1,Shorea,1,Shorea glauca,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Saturniidae,Antheraea,Antheraea mylitta,"Drury, 1773",1,Dipterocarpus,1,Dipterocarpus alatus,Leaves,Defoliator,Thailand,Robinson et al. (2025),
Lepidoptera,Sesiidae,Canopia,Canopia,,1,Parashorea,1,Parashorea densiflora,Fruits,Fruit Feeder,Malaysia,Daljeet-Singh (1974),
Lepidoptera,Sphingidae,Cypa,Cypa decolor,"Walker, 1856",1,Dryobalanops,1,Dryobalanops lanceolata,Flowers,Florivore,Malaysia,Chung et al. (2011),
Lepidoptera,Thyrididae,Calindoea,Calindoea atripunctalis,"Walker, [1866]",1,Rubroshorea,1,Rubroshorea parvifolia,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Thyrididae,Calindoea,Calindoea elongatalis,"Hampson, 1897",1,Dipterocarpus,1,Dipterocarpus tuberculatus,Leaves,Defoliator,South-East Asia,Robinson et al. (2025),
Lepidoptera,Thyrididae,Hypolamprus,Hypolamprus bipunctatus,"Warren, 1897",1,Vatica,1,Vatica odorata,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Tortricidae,Adoxophyes,Adoxophyes sp.,,1,Shorea,1,Shorea sumatrana,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Tortricidae,Homona,Homona nr. eductana,"(Walker, 1863)",1,Anthoshorea,1,Anthoshorea symingtonii,Leaves,Defoliator,Malaysia ,Chung et al. (2013),
Lepidoptera,Tortricidae,Homona,Homona sp.,,1,Rubroshorea,1,Rubroshorea parvifolia,Flowers,Florivore,Malaysia,Chung et al. (2013),
Lepidoptera,Tortricidae,Homona,Homona tabescens,"(Meyrick, 1921)",1,Rubroshorea,1,Rubroshorea leprosula,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Tortricidae,Hoplitendemis,Hoplitendemis sp. ,,1,Parashorea,1,Parashorea stellata,Fruits,Fruit Feeder,Thailand,"Basset et al. (2019), Brown et al. (2019)",
Lepidoptera,Tortricidae,Olethreutes,Olethreutes sp.,,1,Richetia,1,Richetia multiflora,Leaves,Defoliator,Malaysia ,Robinson et al. (2025),
Orthoptera,Acrididae,Oxya,Oxya chinensis,"(Thunberg, 1815)",1,Rubroshorea,1,Rubroshorea selanica,Leaves,Defoliator,Indonesia,Manya (2017),
Phasmatodea,Heteronemiidae,Asceles,Asceles cf. inquinatus,"Redtenbacher, 1908",1,Parashorea,1,Parashorea malaanonan,Leaves,Defoliator,Malaysia,Blüthgen et al. (2006),
Phasmatodea,Heteronemiidae,Asceles,Asceles moricula,"(Redtenbacher, 1908)",1,Dryobalanops,1,Dryobalanops lanceolata,Leaves,Defoliator,Malaysia,Junker et al. (2008),
Phasmatodea,Heteropterygidae,Hoploclonia,Hoploclonia cuspidata,"Redtenbacher, 1906",1,Dryobalanops,1,Dryobalanops lanceolata,Leaves,Defoliator,Malaysia,Junker et al. (2008),
Phasmatodea,Lonchodidae,Centrophasma,Centrophasma longipennis,"(Günther, 1944)",1,Parashorea,1,Parashorea malaanonan,Leaves,Defoliator,Malaysia,Blüthgen et al. (2006),
Phasmatodea,Lonchodidae,Lonchodes,Lonchodes imitator,"Brunner von Wattenwyl, 1907)",1,Parashorea,1,Parashorea malaanonan,Leaves,Defoliator,Malaysia,Blüthgen et al. (2006),
Phasmatodea,Lonchodidae,Lonchodes,Lonchodes sp.,,1,Dryobalanops,1,Dryobalanops lanceolata,Leaves,Defoliator,Malaysia,Junker et al. (2008),
Phasmatodea,Lonchodidae,Marmessoidea,Marmessoidea rubescens,"(Saussure, 1868)",1,Hopea,1,Hopea nervosa,Leaves,Defoliator,Malaysia,Blüthgen et al. (2006),
